,payment_type,payment_type_id,payment_type_name
0,1,0,Credit card
1,1,1,Credit card
2,1,2,Credit card
3,1,3,Credit card
4,1,4,Credit card
5,1,5,Credit card
6,2,6,Cash
7,3,7,No charge
8,1,8,Credit card
9,1,9,Credit card
10,2,10,Cash
11,2,11,Cash
12,1,12,Credit card
13,1,13,Credit card
14,1,14,Credit card
15,1,15,Credit card
16,2,16,Cash
17,1,17,Credit card
18,1,18,Credit card
19,1,19,Credit card
20,2,20,Cash
21,2,21,Cash
22,1,22,Credit card
23,2,23,Cash
24,1,24,Credit card
25,2,25,Cash
26,1,26,Credit card
27,1,27,Credit card
28,1,28,Credit card
29,1,29,Credit card
30,2,30,Cash
31,2,31,Cash
32,1,32,Credit card
33,1,33,Credit card
34,1,34,Credit card
35,2,35,Cash
36,1,36,Credit card
37,1,37,Credit card
38,1,38,Credit card
39,1,39,Credit card
40,2,40,Cash
41,2,41,Cash
42,1,42,Credit card
43,2,43,Cash
44,1,44,Credit card
45,2,45,Cash
46,1,46,Credit card
47,1,47,Credit card
48,1,48,Credit card
49,1,49,Credit card
50,1,50,Credit card
51,1,51,Credit card
52,1,52,Credit card
53,2,53,Cash
54,1,54,Credit card
55,2,55,Cash
56,2,56,Cash
57,1,57,Credit card
58,1,58,Credit card
59,1,59,Credit card
60,1,60,Credit card
61,1,61,Credit card
62,1,62,Credit card
63,2,63,Cash
64,1,64,Credit card
65,1,65,Credit card
66,2,66,Cash
67,1,67,Credit card
68,1,68,Credit card
69,1,69,Credit card
70,1,70,Credit card
71,1,71,Credit card
72,1,72,Credit card
73,1,73,Credit card
74,1,74,Credit card
75,1,75,Credit card
76,2,76,Cash
77,2,77,Cash
78,1,78,Credit card
79,1,79,Credit card
80,2,80,Cash
81,1,81,Credit card
82,2,82,Cash
83,1,83,Credit card
84,1,84,Credit card
85,1,85,Credit card
86,1,86,Credit card
87,1,87,Credit card
88,2,88,Cash
89,2,89,Cash
90,1,90,Credit card
91,1,91,Credit card
92,1,92,Credit card
93,1,93,Credit card
94,2,94,Cash
95,1,95,Credit card
96,1,96,Credit card
97,1,97,Credit card
98,2,98,Cash
99,1,99,Credit card
100,1,100,Credit card
101,2,101,Cash
102,1,102,Credit card
103,1,103,Credit card
104,1,104,Credit card
105,1,105,Credit card
106,1,106,Credit card
107,1,107,Credit card
108,2,108,Cash
109,3,109,No charge
110,2,110,Cash
111,1,111,Credit card
112,1,112,Credit card
113,1,113,Credit card
114,1,114,Credit card
115,2,115,Cash
116,1,116,Credit card
117,1,117,Credit card
118,1,118,Credit card
119,2,119,Cash
120,2,120,Cash
121,2,121,Cash
122,1,122,Credit card
123,1,123,Credit card
124,1,124,Credit card
125,1,125,Credit card
126,2,126,Cash
127,1,127,Credit card
128,1,128,Credit card
129,2,129,Cash
130,1,130,Credit card
131,2,131,Cash
132,1,132,Credit card
133,1,133,Credit card
134,1,134,Credit card
135,2,135,Cash
136,1,136,Credit card
137,1,137,Credit card
138,2,138,Cash
139,2,139,Cash
140,1,140,Credit card
141,1,141,Credit card
142,1,142,Credit card
143,1,143,Credit card
144,1,144,Credit card
145,2,145,Cash
146,1,146,Credit card
147,1,147,Credit card
148,1,148,Credit card
149,1,149,Credit card
150,1,150,Credit card
151,1,151,Credit card
152,1,152,Credit card
153,1,153,Credit card
154,1,154,Credit card
155,1,155,Credit card
156,1,156,Credit card
157,1,157,Credit card
158,1,158,Credit card
159,1,159,Credit card
160,1,160,Credit card
161,2,161,Cash
162,1,162,Credit card
163,1,163,Credit card
164,1,164,Credit card
165,1,165,Credit card
166,2,166,Cash
167,1,167,Credit card
168,1,168,Credit card
169,1,169,Credit card
170,1,170,Credit card
171,1,171,Credit card
172,1,172,Credit card
173,1,173,Credit card
174,1,174,Credit card
175,1,175,Credit card
176,2,176,Cash
177,2,177,Cash
178,1,178,Credit card
179,2,179,Cash
180,1,180,Credit card
181,1,181,Credit card
182,1,182,Credit card
183,1,183,Credit card
184,1,184,Credit card
185,2,185,Cash
186,1,186,Credit card
187,1,187,Credit card
188,1,188,Credit card
189,1,189,Credit card
190,1,190,Credit card
191,1,191,Credit card
192,1,192,Credit card
193,1,193,Credit card
194,1,194,Credit card
195,1,195,Credit card
196,1,196,Credit card
197,1,197,Credit card
198,2,198,Cash
199,1,199,Credit card
200,2,200,Cash
201,1,201,Credit card
202,1,202,Credit card
203,1,203,Credit card
204,2,204,Cash
205,2,205,Cash
206,2,206,Cash
207,1,207,Credit card
208,2,208,Cash
209,1,209,Credit card
210,2,210,Cash
211,2,211,Cash
212,1,212,Credit card
213,1,213,Credit card
214,1,214,Credit card
215,1,215,Credit card
216,1,216,Credit card
217,1,217,Credit card
218,2,218,Cash
219,2,219,Cash
220,1,220,Credit card
221,1,221,Credit card
222,1,222,Credit card
223,1,223,Credit card
224,2,224,Cash
225,1,225,Credit card
226,1,226,Credit card
