,rate_code_id,RatecodeID,rate_code_name
0,0,1,Standard rate
1,1,1,Standard rate
2,2,1,Standard rate
3,3,1,Standard rate
4,4,3,Newark
5,5,1,Standard rate
6,6,1,Standard rate
7,7,1,Standard rate
8,8,1,Standard rate
9,9,1,Standard rate
10,10,1,Standard rate
11,11,1,Standard rate
12,12,1,Standard rate
13,13,1,Standard rate
14,14,1,Standard rate
15,15,1,Standard rate
16,16,1,Standard rate
17,17,1,Standard rate
18,18,2,JFK
19,19,1,Standard rate
20,20,1,Standard rate
21,21,1,Standard rate
22,22,1,Standard rate
23,23,1,Standard rate
24,24,1,Standard rate
25,25,1,Standard rate
26,26,1,Standard rate
27,27,1,Standard rate
28,28,2,JFK
29,29,1,Standard rate
30,30,1,Standard rate
31,31,1,Standard rate
32,32,1,Standard rate
33,33,1,Standard rate
34,34,1,Standard rate
35,35,1,Standard rate
36,36,1,Standard rate
37,37,1,Standard rate
38,38,1,Standard rate
39,39,1,Standard rate
40,40,1,Standard rate
41,41,1,Standard rate
42,42,1,Standard rate
43,43,1,Standard rate
44,44,1,Standard rate
45,45,1,Standard rate
46,46,1,Standard rate
47,47,1,Standard rate
48,48,1,Standard rate
49,49,1,Standard rate
50,50,1,Standard rate
51,51,1,Standard rate
52,52,1,Standard rate
53,53,1,Standard rate
54,54,1,Standard rate
55,55,1,Standard rate
56,56,1,Standard rate
57,57,1,Standard rate
58,58,1,Standard rate
59,59,1,Standard rate
60,60,1,Standard rate
61,61,1,Standard rate
62,62,1,Standard rate
63,63,1,Standard rate
64,64,2,JFK
65,65,1,Standard rate
66,66,1,Standard rate
67,67,1,Standard rate
68,68,1,Standard rate
69,69,1,Standard rate
70,70,1,Standard rate
71,71,1,Standard rate
72,72,1,Standard rate
73,73,1,Standard rate
74,74,1,Standard rate
75,75,1,Standard rate
76,76,1,Standard rate
77,77,1,Standard rate
78,78,1,Standard rate
79,79,1,Standard rate
80,80,1,Standard rate
81,81,1,Standard rate
82,82,1,Standard rate
83,83,1,Standard rate
84,84,1,Standard rate
85,85,1,Standard rate
86,86,1,Standard rate
87,87,1,Standard rate
88,88,1,Standard rate
89,89,1,Standard rate
90,90,1,Standard rate
91,91,1,Standard rate
92,92,1,Standard rate
93,93,1,Standard rate
94,94,1,Standard rate
95,95,1,Standard rate
96,96,1,Standard rate
97,97,1,Standard rate
98,98,1,Standard rate
99,99,1,Standard rate
100,100,1,Standard rate
101,101,1,Standard rate
102,102,1,Standard rate
103,103,1,Standard rate
104,104,1,Standard rate
105,105,1,Standard rate
106,106,1,Standard rate
107,107,1,Standard rate
108,108,1,Standard rate
109,109,1,Standard rate
110,110,1,Standard rate
111,111,1,Standard rate
112,112,1,Standard rate
113,113,1,Standard rate
114,114,1,Standard rate
115,115,1,Standard rate
116,116,1,Standard rate
117,117,1,Standard rate
118,118,1,Standard rate
119,119,1,Standard rate
120,120,1,Standard rate
121,121,1,Standard rate
122,122,1,Standard rate
123,123,1,Standard rate
124,124,1,Standard rate
125,125,1,Standard rate
126,126,1,Standard rate
127,127,1,Standard rate
128,128,1,Standard rate
129,129,5,Negotiated fare
130,130,1,Standard rate
131,131,2,JFK
132,132,1,Standard rate
133,133,1,Standard rate
134,134,1,Standard rate
135,135,2,JFK
136,136,1,Standard rate
137,137,1,Standard rate
138,138,1,Standard rate
139,139,1,Standard rate
140,140,1,Standard rate
141,141,1,Standard rate
142,142,1,Standard rate
143,143,1,Standard rate
144,144,1,Standard rate
145,145,1,Standard rate
146,146,1,Standard rate
147,147,1,Standard rate
148,148,2,JFK
149,149,1,Standard rate
150,150,1,Standard rate
151,151,1,Standard rate
152,152,1,Standard rate
153,153,1,Standard rate
154,154,1,Standard rate
155,155,1,Standard rate
156,156,1,Standard rate
157,157,1,Standard rate
158,158,1,Standard rate
159,159,1,Standard rate
160,160,1,Standard rate
161,161,1,Standard rate
162,162,1,Standard rate
163,163,1,Standard rate
164,164,1,Standard rate
165,165,1,Standard rate
166,166,1,Standard rate
167,167,1,Standard rate
168,168,1,Standard rate
169,169,1,Standard rate
170,170,2,JFK
171,171,1,Standard rate
172,172,1,Standard rate
173,173,1,Standard rate
174,174,1,Standard rate
175,175,1,Standard rate
176,176,1,Standard rate
177,177,1,Standard rate
178,178,1,Standard rate
179,179,1,Standard rate
180,180,1,Standard rate
181,181,1,Standard rate
182,182,1,Standard rate
183,183,1,Standard rate
184,184,1,Standard rate
185,185,1,Standard rate
186,186,1,Standard rate
187,187,1,Standard rate
188,188,1,Standard rate
189,189,1,Standard rate
190,190,1,Standard rate
191,191,1,Standard rate
192,192,1,Standard rate
193,193,1,Standard rate
194,194,1,Standard rate
195,195,1,Standard rate
196,196,1,Standard rate
197,197,1,Standard rate
198,198,1,Standard rate
199,199,1,Standard rate
200,200,1,Standard rate
201,201,1,Standard rate
202,202,1,Standard rate
203,203,1,Standard rate
204,204,1,Standard rate
205,205,1,Standard rate
206,206,1,Standard rate
207,207,1,Standard rate
208,208,1,Standard rate
209,209,1,Standard rate
210,210,1,Standard rate
211,211,1,Standard rate
212,212,1,Standard rate
213,213,1,Standard rate
214,214,1,Standard rate
215,215,5,Negotiated fare
216,216,1,Standard rate
217,217,1,Standard rate
218,218,2,JFK
219,219,1,Standard rate
220,220,1,Standard rate
221,221,1,Standard rate
222,222,1,Standard rate
223,223,1,Standard rate
224,224,1,Standard rate
225,225,1,Standard rate
226,226,1,Standard rate
227,227,1,Standard rate
228,228,1,Standard rate
229,229,1,Standard rate
230,230,1,Standard rate
231,231,2,JFK
232,232,1,Standard rate
233,233,1,Standard rate
234,234,1,Standard rate
235,235,1,Standard rate
236,236,1,Standard rate
237,237,1,Standard rate
238,238,1,Standard rate
239,239,1,Standard rate
240,240,1,Standard rate
241,241,1,Standard rate
242,242,1,Standard rate
243,243,1,Standard rate
244,244,1,Standard rate
245,245,1,Standard rate
246,246,1,Standard rate
247,247,1,Standard rate
248,248,1,Standard rate
249,249,1,Standard rate
250,250,1,Standard rate
251,251,1,Standard rate
252,252,1,Standard rate
253,253,1,Standard rate
254,254,1,Standard rate
255,255,1,Standard rate
256,256,1,Standard rate
257,257,2,JFK
258,258,1,Standard rate
259,259,1,Standard rate
260,260,1,Standard rate
261,261,1,Standard rate
262,262,1,Standard rate
263,263,1,Standard rate
264,264,1,Standard rate
265,265,1,Standard rate
266,266,1,Standard rate
267,267,1,Standard rate
268,268,1,Standard rate
269,269,1,Standard rate
270,270,1,Standard rate
271,271,1,Standard rate
272,272,1,Standard rate
273,273,1,Standard rate
274,274,1,Standard rate
275,275,1,Standard rate
276,276,1,Standard rate
277,277,1,Standard rate
278,278,1,Standard rate
279,279,1,Standard rate
280,280,1,Standard rate
281,281,1,Standard rate
282,282,1,Standard rate
283,283,1,Standard rate
284,284,1,Standard rate
285,285,1,Standard rate
286,286,1,Standard rate
287,287,1,Standard rate
288,288,1,Standard rate
289,289,1,Standard rate
290,290,1,Standard rate
291,291,1,Standard rate
292,292,1,Standard rate
293,293,1,Standard rate
294,294,1,Standard rate
295,295,1,Standard rate
296,296,1,Standard rate
297,297,1,Standard rate
298,298,1,Standard rate
299,299,1,Standard rate
300,300,1,Standard rate
301,301,1,Standard rate
302,302,1,Standard rate
303,303,1,Standard rate
304,304,1,Standard rate
305,305,1,Standard rate
306,306,1,Standard rate
307,307,1,Standard rate
308,308,1,Standard rate
309,309,1,Standard rate
310,310,1,Standard rate
311,311,1,Standard rate
312,312,1,Standard rate
313,313,1,Standard rate
314,314,1,Standard rate
315,315,1,Standard rate
316,316,1,Standard rate
317,317,1,Standard rate
318,318,1,Standard rate
319,319,1,Standard rate
320,320,1,Standard rate
321,321,1,Standard rate
322,322,1,Standard rate
323,323,1,Standard rate
324,324,1,Standard rate
325,325,1,Standard rate
326,326,1,Standard rate
327,327,1,Standard rate
328,328,2,JFK
329,329,1,Standard rate
330,330,1,Standard rate
331,331,1,Standard rate
332,332,1,Standard rate
333,333,1,Standard rate
334,334,1,Standard rate
335,335,1,Standard rate
336,336,1,Standard rate
337,337,1,Standard rate
338,338,1,Standard rate
339,339,1,Standard rate
340,340,1,Standard rate
341,341,1,Standard rate
342,342,1,Standard rate
343,343,1,Standard rate
344,344,1,Standard rate
345,345,1,Standard rate
346,346,1,Standard rate
347,347,1,Standard rate
348,348,1,Standard rate
349,349,1,Standard rate
350,350,1,Standard rate
351,351,2,JFK
352,352,1,Standard rate
353,353,2,JFK
354,354,1,Standard rate
355,355,1,Standard rate
356,356,1,Standard rate
357,357,1,Standard rate
358,358,1,Standard rate
359,359,1,Standard rate
360,360,1,Standard rate
361,361,1,Standard rate
362,362,1,Standard rate
363,363,1,Standard rate
364,364,1,Standard rate
365,365,1,Standard rate
366,366,1,Standard rate
367,367,1,Standard rate
368,368,1,Standard rate
369,369,1,Standard rate
370,370,1,Standard rate
371,371,1,Standard rate
372,372,1,Standard rate
373,373,1,Standard rate
374,374,1,Standard rate
375,375,1,Standard rate
376,376,1,Standard rate
377,377,1,Standard rate
378,378,1,Standard rate
379,379,1,Standard rate
380,380,1,Standard rate
381,381,1,Standard rate
382,382,1,Standard rate
383,383,1,Standard rate
384,384,1,Standard rate
385,385,1,Standard rate
386,386,1,Standard rate
387,387,1,Standard rate
388,388,1,Standard rate
389,389,1,Standard rate
390,390,1,Standard rate
391,391,1,Standard rate
392,392,1,Standard rate
393,393,1,Standard rate
394,394,1,Standard rate
395,395,1,Standard rate
396,396,1,Standard rate
397,397,1,Standard rate
398,398,1,Standard rate
399,399,1,Standard rate
400,400,1,Standard rate
401,401,1,Standard rate
402,402,1,Standard rate
403,403,1,Standard rate
404,404,1,Standard rate
405,405,1,Standard rate
406,406,1,Standard rate
407,407,1,Standard rate
408,408,1,Standard rate
409,409,1,Standard rate
410,410,1,Standard rate
411,411,1,Standard rate
412,412,1,Standard rate
413,413,2,JFK
414,414,1,Standard rate
415,415,1,Standard rate
416,416,1,Standard rate
417,417,1,Standard rate
418,418,1,Standard rate
419,419,1,Standard rate
420,420,1,Standard rate
421,421,1,Standard rate
422,422,1,Standard rate
423,423,2,JFK
424,424,1,Standard rate
425,425,1,Standard rate
426,426,1,Standard rate
427,427,2,JFK
428,428,1,Standard rate
429,429,1,Standard rate
430,430,1,Standard rate
431,431,1,Standard rate
432,432,1,Standard rate
433,433,1,Standard rate
434,434,1,Standard rate
435,435,1,Standard rate
436,436,2,JFK
437,437,1,Standard rate
438,438,1,Standard rate
439,439,1,Standard rate
440,440,1,Standard rate
441,441,1,Standard rate
442,442,1,Standard rate
443,443,1,Standard rate
444,444,1,Standard rate
445,445,1,Standard rate
446,446,1,Standard rate
447,447,1,Standard rate
448,448,1,Standard rate
449,449,1,Standard rate
450,450,1,Standard rate
451,451,1,Standard rate
452,452,1,Standard rate
453,453,1,Standard rate
454,454,1,Standard rate
455,455,1,Standard rate
456,456,1,Standard rate
457,457,1,Standard rate
458,458,1,Standard rate
459,459,2,JFK
460,460,1,Standard rate
461,461,1,Standard rate
462,462,3,Newark
463,463,1,Standard rate
464,464,1,Standard rate
465,465,1,Standard rate
466,466,1,Standard rate
467,467,1,Standard rate
468,468,1,Standard rate
469,469,1,Standard rate
470,470,1,Standard rate
471,471,1,Standard rate
472,472,1,Standard rate
473,473,1,Standard rate
474,474,1,Standard rate
475,475,1,Standard rate
476,476,1,Standard rate
477,477,2,JFK
478,478,3,Newark
479,479,1,Standard rate
480,480,1,Standard rate
481,481,1,Standard rate
482,482,1,Standard rate
483,483,1,Standard rate
484,484,1,Standard rate
485,485,1,Standard rate
486,486,1,Standard rate
487,487,1,Standard rate
488,488,1,Standard rate
489,489,1,Standard rate
490,490,1,Standard rate
491,491,1,Standard rate
492,492,1,Standard rate
493,493,1,Standard rate
494,494,1,Standard rate
495,495,1,Standard rate
496,496,1,Standard rate
497,497,1,Standard rate
498,498,1,Standard rate
499,499,1,Standard rate
500,500,1,Standard rate
501,501,1,Standard rate
502,502,1,Standard rate
503,503,1,Standard rate
504,504,1,Standard rate
505,505,1,Standard rate
506,506,1,Standard rate
507,507,1,Standard rate
508,508,1,Standard rate
509,509,1,Standard rate
510,510,1,Standard rate
511,511,1,Standard rate
512,512,1,Standard rate
513,513,2,JFK
514,514,1,Standard rate
515,515,1,Standard rate
516,516,1,Standard rate
517,517,1,Standard rate
518,518,1,Standard rate
519,519,1,Standard rate
520,520,1,Standard rate
521,521,2,JFK
522,522,1,Standard rate
523,523,1,Standard rate
524,524,1,Standard rate
525,525,1,Standard rate
526,526,1,Standard rate
527,527,1,Standard rate
528,528,1,Standard rate
529,529,1,Standard rate
530,530,1,Standard rate
531,531,1,Standard rate
532,532,1,Standard rate
533,533,1,Standard rate
534,534,1,Standard rate
535,535,1,Standard rate
536,536,1,Standard rate
537,537,1,Standard rate
538,538,1,Standard rate
539,539,1,Standard rate
540,540,1,Standard rate
541,541,1,Standard rate
542,542,2,JFK
543,543,2,JFK
544,544,1,Standard rate
545,545,1,Standard rate
546,546,1,Standard rate
547,547,1,Standard rate
548,548,1,Standard rate
549,549,1,Standard rate
550,550,1,Standard rate
551,551,1,Standard rate
552,552,1,Standard rate
553,553,1,Standard rate
554,554,1,Standard rate
555,555,1,Standard rate
556,556,1,Standard rate
557,557,1,Standard rate
558,558,1,Standard rate
559,559,1,Standard rate
560,560,1,Standard rate
561,561,1,Standard rate
562,562,1,Standard rate
563,563,1,Standard rate
564,564,1,Standard rate
565,565,1,Standard rate
566,566,1,Standard rate
567,567,1,Standard rate
568,568,1,Standard rate
569,569,1,Standard rate
570,570,1,Standard rate
571,571,1,Standard rate
572,572,1,Standard rate
573,573,1,Standard rate
574,574,1,Standard rate
575,575,1,Standard rate
576,576,1,Standard rate
577,577,1,Standard rate
578,578,1,Standard rate
579,579,1,Standard rate
580,580,1,Standard rate
581,581,1,Standard rate
582,582,1,Standard rate
583,583,5,Negotiated fare
584,584,1,Standard rate
585,585,1,Standard rate
586,586,1,Standard rate
587,587,1,Standard rate
588,588,1,Standard rate
589,589,1,Standard rate
590,590,1,Standard rate
591,591,1,Standard rate
592,592,1,Standard rate
593,593,1,Standard rate
594,594,2,JFK
595,595,1,Standard rate
596,596,1,Standard rate
597,597,1,Standard rate
598,598,1,Standard rate
599,599,1,Standard rate
600,600,1,Standard rate
601,601,1,Standard rate
602,602,1,Standard rate
603,603,1,Standard rate
604,604,1,Standard rate
605,605,1,Standard rate
606,606,1,Standard rate
607,607,1,Standard rate
608,608,1,Standard rate
609,609,2,JFK
610,610,1,Standard rate
611,611,2,JFK
612,612,1,Standard rate
613,613,1,Standard rate
614,614,1,Standard rate
615,615,1,Standard rate
616,616,1,Standard rate
617,617,1,Standard rate
618,618,1,Standard rate
619,619,1,Standard rate
620,620,1,Standard rate
621,621,1,Standard rate
622,622,1,Standard rate
623,623,1,Standard rate
624,624,1,Standard rate
625,625,2,JFK
626,626,2,JFK
627,627,1,Standard rate
628,628,1,Standard rate
629,629,1,Standard rate
630,630,1,Standard rate
631,631,1,Standard rate
632,632,1,Standard rate
633,633,1,Standard rate
634,634,1,Standard rate
635,635,1,Standard rate
636,636,1,Standard rate
637,637,1,Standard rate
638,638,1,Standard rate
639,639,1,Standard rate
640,640,1,Standard rate
641,641,1,Standard rate
642,642,1,Standard rate
643,643,2,JFK
644,644,1,Standard rate
645,645,1,Standard rate
646,646,1,Standard rate
647,647,1,Standard rate
648,648,1,Standard rate
649,649,1,Standard rate
650,650,1,Standard rate
651,651,1,Standard rate
652,652,1,Standard rate
653,653,1,Standard rate
654,654,1,Standard rate
655,655,1,Standard rate
656,656,1,Standard rate
657,657,1,Standard rate
658,658,1,Standard rate
659,659,1,Standard rate
660,660,2,JFK
661,661,1,Standard rate
662,662,1,Standard rate
663,663,1,Standard rate
664,664,1,Standard rate
665,665,1,Standard rate
666,666,1,Standard rate
667,667,1,Standard rate
668,668,1,Standard rate
669,669,1,Standard rate
670,670,1,Standard rate
671,671,1,Standard rate
672,672,1,Standard rate
673,673,1,Standard rate
674,674,1,Standard rate
675,675,2,JFK
676,676,1,Standard rate
677,677,1,Standard rate
678,678,1,Standard rate
679,679,1,Standard rate
680,680,1,Standard rate
681,681,1,Standard rate
682,682,1,Standard rate
683,683,1,Standard rate
684,684,1,Standard rate
685,685,1,Standard rate
686,686,1,Standard rate
687,687,1,Standard rate
688,688,1,Standard rate
689,689,1,Standard rate
690,690,1,Standard rate
691,691,1,Standard rate
692,692,1,Standard rate
693,693,1,Standard rate
694,694,1,Standard rate
695,695,1,Standard rate
696,696,1,Standard rate
697,697,1,Standard rate
698,698,1,Standard rate
699,699,1,Standard rate
700,700,1,Standard rate
701,701,1,Standard rate
702,702,1,Standard rate
703,703,1,Standard rate
704,704,1,Standard rate
705,705,1,Standard rate
706,706,1,Standard rate
707,707,1,Standard rate
708,708,1,Standard rate
709,709,1,Standard rate
710,710,1,Standard rate
711,711,1,Standard rate
712,712,1,Standard rate
713,713,1,Standard rate
714,714,1,Standard rate
715,715,1,Standard rate
716,716,1,Standard rate
717,717,1,Standard rate
718,718,1,Standard rate
719,719,1,Standard rate
720,720,1,Standard rate
721,721,1,Standard rate
722,722,1,Standard rate
723,723,1,Standard rate
724,724,1,Standard rate
725,725,1,Standard rate
726,726,1,Standard rate
727,727,1,Standard rate
728,728,1,Standard rate
729,729,1,Standard rate
730,730,1,Standard rate
731,731,1,Standard rate
732,732,1,Standard rate
733,733,1,Standard rate
734,734,1,Standard rate
735,735,1,Standard rate
736,736,1,Standard rate
737,737,1,Standard rate
738,738,1,Standard rate
739,739,1,Standard rate
740,740,1,Standard rate
741,741,1,Standard rate
742,742,1,Standard rate
743,743,1,Standard rate
744,744,1,Standard rate
